2021-07-19 15:46:19,il_gigikita,Bekasi,b'@Telkomsel Makin paraaaaah\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0 jaringan @Telkomsel'
2021-07-19 15:35:47,Telkomsel,Indonesia,"b'@badrus_MBZ Hai, Kak Badrus. Maaf ya jadi ga nyaman. Terkait keluhan akses data lambat, Sebelumnya apakah sudah ref\xe2\x80\xa6 https://t.co/u4eGNdjDNW'"
2021-07-19 15:28:35,Telkomsel,Indonesia,"b'@airinele Halo, Kak. Maaf ya, terkait tarif paket data mengacu kepada besaran biaya pengeluaran jaringan yang berbe\xe2\x80\xa6 https://t.co/MOjG43D1mQ'"
2021-07-19 15:24:18,Telkomsel,Indonesia,"b'@airinele Hai, Kak. Maaf ya. Perihal kendala sinyal. Apa Kakak sudah pindahkan jaringan dari otomatis ke manual dan\xe2\x80\xa6 https://t.co/Zz5Kp7ws67'"
2021-07-19 15:21:20,Telkomsel,Indonesia,"b'@wildhanfajri Hai, Kak Wildhan. Maaf ya, perihal kendala jaringan. Apa sudah coba pindahkan jaringan dari otomatis\xe2\x80\xa6 https://t.co/HCBptc5d60'"
2021-07-19 15:17:41,Telkomsel,Indonesia,"b'@themilkyywayy Hai, Kak. Maaf ya jadi ga nyaman. Terkait keluhan akses data lambat, Sebelumnya apakah sudah refresh\xe2\x80\xa6 https://t.co/5kITRplRlJ'"
2021-07-19 15:16:55,MamankRacing15,,b'@Telkomsel ini jaringan internetnya kenapa dah?punya paket tapi kaya ga punya paket internet https://t.co/5UROXEtkFK'
2021-07-19 15:16:21,Biangkerok_27,Jepang,b'@tasfdgbi Jaringan Telkomsel ku malah bikin emosi juga.'
2021-07-19 15:14:53,tafia___,"Wonosobo, Indonesia","b'@heydearr_ Aku pake Telkomsel belinya yang 10 GB / 55 ribu, pengen ganti tapi di tempatku adanya jaringan telkomsel doang\xf0\x9f\x98\xad'"
2021-07-19 15:06:42,themilkyywayy,,"b'dear @Telkomsel kenapa jaringan Halo saya lebih lemot daripada As saya? padahal sama2 di jaringan 4G, saya ganti ke\xe2\x80\xa6 https://t.co/muLxz7tGK7'"
2021-07-19 14:59:27,miymimyohae,she / her,b'@Telkomsel kenapa jaringan telkomsel dari kemarin lama banget ya? Udah direstart segala macem tetep aja lemot parah'
2021-07-19 14:50:23,Telkomsel,Indonesia,"b'@yeontanjg Hai, Kak. Mengenai kuota lokal merupakan kuota yang hanya dapat digunakan di lokasi saat Kakak melakukan\xe2\x80\xa6 https://t.co/sd9QnOudHd'"
2021-07-19 14:47:41,Myruko_,,b'Jaringan Telkomsel di porsea benar2 parah'
2021-07-19 14:44:28,Telkomsel,Indonesia,b'@DtegoehP sinyal yang tidak stabil. Apakah sudah mencoba refresh dengan cara pindahkan mode jaringan dari otomatis\xe2\x80\xa6 https://t.co/xkYf5vwhvH'
2021-07-19 14:44:12,Telkomsel,Indonesia,"b'@DtegoehP Halo, Kak. Maaf ya, terkait tarif paket data mengacu kepada besaran biaya pengeluaran jaringan yang berbe\xe2\x80\xa6 https://t.co/rbbjhZOS4i'"
2021-07-19 14:42:42,Telkomsel,Indonesia,"b'@indyismaya Hai, Kak. Maaf ya. Mengenai kendala sinyal, silahkan mencoba untuk refresh jaringan di HPnya dengan car\xe2\x80\xa6 https://t.co/gG7Erq2cPo'"
2021-07-19 14:42:14,DtegoehP,Padang west sumatra,b'Dear Telkomsel\nUdah bayar mahal paket nya jaringan jangan jelek dong @Telkomsel malu sama harga'
2021-07-19 14:35:43,Telkomsel,Indonesia,"b'@aldilachristy Hai, Kak. Maaf ya. Mengenai kendala sinyal, silahkan mencoba untuk refresh jaringan di HPnya dengan\xe2\x80\xa6 https://t.co/exQXb9JM1v'"
2021-07-19 14:34:29,Telkomsel,Indonesia,"b'@rezkygezod Maaf ya, Kak :( Perihal internet lambat. Apa Kakak sudah coba refresh jaringan dengan cara OFF-ON data\xe2\x80\xa6 https://t.co/96aGGzlP0M'"
2021-07-19 14:33:44,aldilachristy,Indonesia,"b'Woiiii @Telkomsel @telkomselflash lagi kenapa si jaringan ?\nSomething wrong ?\nLagi streaming nih, so please lah \xf0\x9f\x92\x94'"
2021-07-19 14:08:05,bagaas_hermawan,"Cilacap Utara, Indonesia",b'@Telkomsel Selamat Malam. Saya mau nanya. \nApakah jika menggunakan paket Combo Sakti MAX (Promo) kualitas/kecepatan\xe2\x80\xa6 https://t.co/oYAiedTp78'
2021-07-19 14:02:59,Telkomsel,Indonesia,"b'@coupdgraces Maaf ya, Kak Jordan \xf0\x9f\x98\x9f Jika sinyal ga stabil, udah coba pindahin jaringan dari otomatis ke manual dan k\xe2\x80\xa6 https://t.co/379sIajff6'"
2021-07-19 13:38:21,vidio,Indonesia,b'@fransiscasc710 Untuk pengguna jaringan @telkomsel gratis akses Olimpiade di Vidio ya \xf0\x9f\x98\x8a\xf0\x9f\x99\x8f PS'
2021-07-19 13:29:01,Telkomsel,Indonesia,b'@mdzikrinf_ Maaf Kak Dzikri. Jika sudah setting jaringan dari otomatis ke manual lalu kembali otomatis namun sinyal\xe2\x80\xa6 https://t.co/FYbmiol5Um'
2021-07-19 13:21:52,Telkomsel,Indonesia,b'@prwittyhearts Maaf Kak. Jika sudah setting jaringan dari otomatis ke manual lalu kembali otomatis namun sinyal tet\xe2\x80\xa6 https://t.co/igY5wYj5Xy'
2021-07-19 13:12:19,Telkomsel,Indonesia,"b'@bingungdehc Duh, maaf ya Kak :( perihal sinyal ga stabil. Apa sudah coba pindahkan jaringan dari otomatis ke manua\xe2\x80\xa6 https://t.co/WhMJRBHAXy'"
2021-07-19 12:55:19,Halidth,Jakarta,"b'@Telkomsel Jangankan nonton... Mau download foto di WA butuh waktu 5 menit, lebih sering error..... Woooyyyyy\xe2\x80\xa6 https://t.co/0LGFqmaoIa'"
2021-07-19 12:43:05,Telkomsel,Indonesia,"b'@meeymelani Hi, Kak Tri. Mohon infokan lebih detail kendala jaringan yang dialami, agar dapat Mimin berikan solusi\xe2\x80\xa6 https://t.co/tMkWmU9jve'"
2021-07-19 12:41:39,meeymelani,Indonesia,b'@telkomsel min jaringan lagi gangguan kah?'
2021-07-19 12:28:00,Telkomsel,Indonesia,"b'@abahkuu Hai, Kak Babah. Maaf banget ya jadi ga nyaman. Terkait keluhan sinyal yang tidak stabil. Apakah sudah menc\xe2\x80\xa6 https://t.co/4Zolw2lbRM'"
2021-07-19 12:17:10,watanabepeach13,he/him,b'@00LJNCUT Di dom aku engga soalnya dia ngikut jaringan telkomsel'
2021-07-19 12:09:46,Telkomsel,Indonesia,"b'@aquiveries Baik, Kak. Jika masih berkendala jangan sungkan hubungi mimin via DM ya Kak. dan terkait kendala intern\xe2\x80\xa6 https://t.co/CYTEZfYbYu'"
2021-07-19 12:02:12,Telkomsel,Indonesia,"b'@Halidth Hai, Kak Halid. Maaf ya jadi ga nyaman. Terkait keluhan akses data lambat, Sebelumnya apakah sudah refresh\xe2\x80\xa6 https://t.co/5Q9PPTs3RD'"
2021-07-19 11:37:23,dian_iyas,"Garut, Indonesia",b'RT @Telkomsel: Ini dia fakta-fakta tentang 5G yang wajib kamu tahu! Pastinya jaringan Telkomsel 5G ini yang bakal bawa sesuatu dari masa de\xe2\x80\xa6'
2021-07-19 11:34:35,Telkomsel,Indonesia,b'@adiapriliaxxii Maaf Kak Adi. Jika sudah setting jaringan dari otomatis ke manual lalu kembali otomatis namun sinya\xe2\x80\xa6 https://t.co/40oFx0DJSH'
2021-07-19 11:32:32,sikecilmarmut,Indonesia,"b'RT @byu_id: Jadi sultan pake by.U aja! Bebas pilih nomor dan kuota semaumu, internetan byUbas kapan aja karena pake jaringan Telkomsel~\n\nYu\xe2\x80\xa6'"
2021-07-19 11:30:13,vidio,Indonesia,"b'Atlet Surfing, Rowing, Swimming Indonesia yang akan berpartisipasi di ajang Tokyo Olympic! \xf0\x9f\x87\xae\xf0\x9f\x87\xa9\n\nKirim doa kalian aga\xe2\x80\xa6 https://t.co/LHgjbLSyEL'"
2021-07-19 11:09:51,Telkomsel,Indonesia,"b'@aisryuuza Maaf ya, Kak Taka \xf0\x9f\x98\x9f Untuk kendala sinyal yang dialami, Jika sudah coba pindahkan jaringan dari otomatis\xe2\x80\xa6 https://t.co/NR3Fj1a8wn'"
2021-07-19 11:07:05,Telkomsel,Indonesia,"b'@yaellahflaw Hai, Kak Flaw. Maaf ya. Jika sinyal ga stabil, udah coba pindahin jaringan dari otomatis ke manual dan\xe2\x80\xa6 https://t.co/ucPsJEFZS4'"
2021-07-19 11:06:29,iinmulyadin,Indonesia,b'@Telkomsel Respon lebih cepat.\nBosa nunggu\n\nJaringan udah mati dua bulan lebih ini'
2021-07-19 11:03:19,iinmulyadin,Indonesia,b'@Telkomsel Ini bukan masalah nomor. Tapi ini masalah jaringan'
2021-07-19 11:02:48,Telkomsel,Indonesia,"b'@iinmulyadin Baik, Kak Iin. Maaf banget ya, terkait kendala tidak ada jaringan, yuk infoin data yang diminta sebelu\xe2\x80\xa6 https://t.co/LlnirMqmWb'"
2021-07-19 10:59:13,iinmulyadin,Indonesia,b'@Telkomsel Ini bukan masalah nomor nya. Tapi ini masalah jaringan di lokasi saya ini mati total'
2021-07-19 10:57:25,Telkomsel,Indonesia,b'@iinmulyadin Maaf Kak Iin. Jika sudah setting jaringan dari otomatis ke manual lalu kembali otomatis namun sinyal t\xe2\x80\xa6 https://t.co/qwbPbZ6EN3'
2021-07-19 10:44:47,Telkomsel,Indonesia,"b'@transylvaniahat Hai, Kak. Maaf ya jadi ga nyaman. Terkait keluhan akses data lambat, Sebelumnya apakah sudah refre\xe2\x80\xa6 https://t.co/ff3Z2Fv46C'"
2021-07-19 10:37:22,ohyoongishi,Indonesia,"b'@ARMYTEAMIID @BTS_twt TUNGGU AKOH YOONGI, JARINGAN TRI NGADAT, BELI KUOTA YG TELKOMSEL DULU BENTAR'"
2021-07-19 10:32:13,Telkomsel,Indonesia,b'@sundaee__ Maaf Kak. Jika sudah setting jaringan dari otomatis ke manual lalu kembali otomatis namun sinyal tetap b\xe2\x80\xa6 https://t.co/tBFhq6YloL'
2021-07-19 10:30:29,Telkomsel,Indonesia,b'@SaosKec13089229 Maaf Kak. Jika sudah setting jaringan dari otomatis ke manual lalu kembali otomatis namun sinyal t\xe2\x80\xa6 https://t.co/Y2FLNHpVSn'
2021-07-19 10:29:59,sundaee__,,"b'Hi, @Telkomsel kok jaringan km buruk sekali?\nSy mau nugas record zoom ini jgn buat sy ngamuk y lg pms'"
2021-07-19 10:28:32,SaosKec13089229,,b'@Telkomsel Jaringan nya jelek sekarang'
2021-07-19 10:18:52,Telkomsel,Indonesia,"b'@san2wae Hai, Kak. Maaf ya, perihal kendala sinyal. Apa sudah coba pindahkan jaringan dari otomatis ke manual dan k\xe2\x80\xa6 https://t.co/B3HLsSmFMy'"
2021-07-19 09:30:58,nqdlneox,,b'@im5ehunnieday Sulit harus tlaten ngecek.. Yg jls coba pakek kartu m3 or telkomsel jaringan kuat dan baca bismillah'
2021-07-19 09:22:00,dedearora,,"b'hadirnya layanan Telkom di daerah saya. Mulai dari telepon rumah yg saya gunakan memakai @IndiHome, Hp saya menggun\xe2\x80\xa6 https://t.co/5aZY6mqfJT'"
2021-07-19 09:08:05,Telkomsel,Indonesia,"b'@transylvaniahat Hai, Kak. Maaf ya jadi ga nyaman. Mengenai keluhan jaringan yang menyebabkan akses internet lambat\xe2\x80\xa6 https://t.co/4Y6WQ81Gsa'"
2021-07-19 09:06:54,transylvaniahat,,"b'@Telkomsel mohon info jaringan telkomsel dan telkomsel orbit untuk area sawahlunto, sumbar kok tidak stabil? Internetnya sangat lamban'"
2021-07-19 09:02:14,peachiesjyh,,b'gua nungguin jaringan telkomsel sampe ketiduran 2 jam'
2021-07-19 08:56:46,Telkomsel,Indonesia,b'@rifkyharum Maaf Kak Rifkyn. Jika sudah setting jaringan dari otomatis ke manual lalu kembali otomatis namun sinyal\xe2\x80\xa6 https://t.co/rTduuDw5Vf'
2021-07-19 08:54:10,rifkyharum,"Tasikmalaya, Jawa Barat","b'@Telkomsel Jaringannya gak stabil,dikit dikit loading,buka sosmedpun ga selancar dulu,kasang kadang tidak ada layan\xe2\x80\xa6 https://t.co/olQ9UpCdPe'"
2021-07-19 08:31:01,vidio,Indonesia,"b'@rzlmu Hai Kak, khusus pelanggan @telkomsel yang menggunakan jaringan Telkomsel dapat menyaksikan tayangan Olympics\xe2\x80\xa6 https://t.co/xkr6GGOSTH'"
2021-07-19 08:30:24,vidio,Indonesia,b'4 Hari Menuju Awal Perjuangan \xf0\x9f\x87\xae\xf0\x9f\x87\xa9\n\nOlimpiade Tokyo 2020 tinggal menghitung jari. Ayo kita kawal atlet-atlet Indonesi\xe2\x80\xa6 https://t.co/vtXxcXTUIX'
2021-07-19 08:17:27,Telkomsel,Indonesia,"b'@ukailovebot Hai, Kak. Maaf ya terkait kendala sinyal, apa sudah coba pindahkan mode jaringan dari otomatis ke manu\xe2\x80\xa6 https://t.co/VA2dD4EUoE'"
2021-07-19 08:14:22,Telkomsel,Indonesia,"b'@rifkyharum Hi, Kak. Mohon infokan lebih detail kendala jaringan yang dialami, agar dapat Mimin berikan solusi yang\xe2\x80\xa6 https://t.co/H66JA77yJD'"
2021-07-19 07:59:33,Telkomsel,Indonesia,"b'@violetlilacss Hai, Kak. Maaf jadi ga nyaman. Mengenai kendala sinyal yang menyebabkan akses data lambat atau ga st\xe2\x80\xa6 https://t.co/kxmBeW6awx'"
2021-07-19 07:48:58,D_Demus,Stasiun Depok-Stasiun Sudirman,"b'Niat mau ngabisin kuota telkomsel dengan donlot2 film sebelum gw buang kartunya, eh... gw lupa jaringan telkomshit\xe2\x80\xa6 https://t.co/VmbCqvA2EU'"
2021-07-19 07:25:36,vidio,Indonesia,b'Rio Waida dan Nurul Akmal akan menjadi pembawa bendera merah putih pada Opening Ceremony Tokyo Olympic 2020 \xf0\x9f\x87\xae\xf0\x9f\x87\xa9\n\nNon\xe2\x80\xa6 https://t.co/aSv0dkq2vH'
2021-07-19 07:22:07,Telkomsel,Indonesia,"b'@Ahmadani2000 Hai, Kak Ahmad. Mohon maaf terkait kendala sinyal hilang kak, apakah sebelumnya sudah mencoba refresh\xe2\x80\xa6 https://t.co/u8oq2CV2CV'"
2021-07-19 07:20:16,Telkomsel,Indonesia,"b'@citraprayogo_ Hai, Kak. Maaf ya jadi ga nyaman. Mengenai keluhan jaringan yang menyebabkan akses internet lambat.\xe2\x80\xa6 https://t.co/95MPEBCpJC'"
2021-07-19 07:07:49,Telkomsel,Indonesia,"b'@Lantunan_Musik Hai, Kak. Mohon maaf terkait kendala sinyal hilang kak, apakah sebelumnya sudah mencoba refresh den\xe2\x80\xa6 https://t.co/u87gIc9voG'"
2021-07-19 07:00:08,utimutie,"Padang, Indonesia","b'@LidyaNatalia199 @Telkomsel Sering di sini tetiba hilang jaringan telkomsel onty, hilangnya lama pula. Sebel deh \xf0\x9f\x98\x91'"
2021-07-19 06:53:12,Telkomsel,Indonesia,"b'@BomWar Hai, Kak. Mohon maaf terkait kendala sinyal hilang kak, apakah sebelumnya sudah mencoba refresh dengan cara\xe2\x80\xa6 https://t.co/DTI00mS6hT'"
2021-07-19 06:50:49,Telkomsel,Indonesia,"b'@aden87 @obsesihanna @GlHindu Hai, Kak. Maaf jadi ga nyaman. Mengenai kendala sinyal yang menyebabkan akses data la\xe2\x80\xa6 https://t.co/BHtSKhSFyg'"
2021-07-19 06:39:12,Telkomsel,Indonesia,"b'@ekanurrokhmah Hai, Kak Eka. Maaf ya terkait kendala hilang sinyal, apa sudah coba pindahkan mode jaringan dari oto\xe2\x80\xa6 https://t.co/u4eklhMHm3'"
2021-07-19 06:14:41,Telkomsel,Indonesia,"b'@ranaadiptr Hai, Kak Rana. Maaf kalau sinyalnya tidak stabil\xf0\x9f\x98\xa2 Udah Refresh Jaringan dgn pindahkan dari otomatis ke\xe2\x80\xa6 https://t.co/Otd7az9NgA'"
2021-07-19 06:04:53,Telkomsel,Indonesia,"b'@RFirlandy Maaf Kak Reyhan, jadi ga nyaman. Jika sudah setting jaringan dari otomatis ke manual lalu kembali otomat\xe2\x80\xa6 https://t.co/9r49KXruzm'"
2021-07-19 04:59:18,Telkomsel,Indonesia,"b'@Gcella_ Hai, Kak Gancva. Maaf kalau sinyalnya tidak stabil\xf0\x9f\x98\xa2 Udah Refresh Jaringan dgn pindahkan dari otomatis ke m\xe2\x80\xa6 https://t.co/42JKesHECH'"
2021-07-19 04:58:31,kesahmacet,,b'@Telkomsel baru nongol min jaringannya... tadi ada setengah jam jaringan nya ilang'
2021-07-19 04:55:59,kesahmacet,,"b'@Telkomsel baru siang ini aja jaringan selular nya ilang, tadi pagi lancar...'"
2021-07-19 04:54:18,Telkomsel,Indonesia,"b'@kesahmacet Hai, Kak. Maaf ya jadi ga nyaman. Mengenai keluhan jaringan yang menyebabkan akses internet lambat. Saa\xe2\x80\xa6 https://t.co/OOSxJToQEm'"
2021-07-19 04:52:58,kesahmacet,,b'@Telkomsel ini jaringan telkomsel kenapa tidak tersedia ya sampai skrg jam 12.52 pm WITA ... lokasi bontang kaltim https://t.co/ySLnLEssdk'
2021-07-19 04:52:24,Telkomsel,Indonesia,"b'@kesahmacet Hai, Kak. Maaf kalau sinyalnya hilang\xf0\x9f\x98\xa2 Udah Refresh Jaringan dgn pindahkan dari otomatis ke manual &amp; ke\xe2\x80\xa6 https://t.co/THqHx7SP40'"
2021-07-19 04:36:24,Harun30197737,,"b'@FirstMediaCares , jaringan internet masih belum stabil juga? Kita lagi PPKM kerja dirumah pakai jaringan internet\xe2\x80\xa6 https://t.co/YTeXMWjR61'"
2021-07-19 04:36:12,arie_apriannor,pelaihari,b'@DPlusID_Help Jaringan ternyata Min... Telkomsel lagi jongkok di tempat saya saat itu... Sudah selesai Loki nya...\xe2\x80\xa6 https://t.co/j3M9nBfVG2'
2021-07-19 03:56:46,Gilanggwahyu,,"b'Telkomsel kenapa jaringan trouble selalu pas hari senin aja yo, nggak mood apa gimana to'"
2021-07-19 03:56:33,Telkomsel,Indonesia,"b'@m_adib17 Hai, Kak Adib. Maaf ya jadi ga nyaman.Terkait keluhan sinyal, apakah sebelumnya sudah mencoba refresh jar\xe2\x80\xa6 https://t.co/GXwl7OZSrS'"
2021-07-19 03:51:41,mantanorbangsat,,"b'@Telkomsel udah sering ngasih no hp no yg lain, setiap ngajuin keluhan gitu2 mulu jawabannya. jaringan juga kaga be\xe2\x80\xa6 https://t.co/X8sAxrkfVx'"
2021-07-19 03:39:31,Telkomsel,Indonesia,"b'@mantanorbangsat  Hai, Kak. Maaf ya, perihal kendala jaringan. Apa sudah coba pindahkan jaringan dari otomatis ke m\xe2\x80\xa6 https://t.co/Qp20njLJ78'"
2021-07-19 03:22:30,galangrasya30,,b'Plisss ini jaringan Telkomsel kenapa sih?@Telkomsel i susah sangat nak buka medsos'
2021-07-19 03:03:47,Telkomsel,Indonesia,"b'@mickoseptano77 Hai, Kak. Maaf jadi ga nyaman. Mengenai kendala sinyal yang menyebabkan akses data lambat atau ga s\xe2\x80\xa6 https://t.co/batqmjoMvt'"
2021-07-19 03:00:35,PemburuVampiir,Bandung Indonesia / west java,"b'Provider yg bagus buat maen game apa ya? Selain telkomsel, jaringan nya bapuk mulu'"
2021-07-19 03:00:30,Telkomsel,Indonesia,"b'@guayangasli Hai, Kak. Mohon maaf perihal kendala akses internet lambat, apakah sebelumnya sudah mencoba refresh ja\xe2\x80\xa6 https://t.co/TXrQTFFhNb'"
2021-07-19 02:57:31,Telkomsel,Indonesia,"b'@scngrhtii Hai, Kak Ucit. Mohon maaf perihal kendala akses internet lambat, apakah sebelumnya sudah mencoba refresh\xe2\x80\xa6 https://t.co/LPYbEpbeBU'"
2021-07-19 02:50:55,fredicristianto,indonesia,"b'RT @WOWFAKTA: Pengguna OPPO di Jakarta sudah bisa mencoba kecepatan jaringan 5G! Sebab, beberapa produk @OPPOIndonesia, seperti OPPO Reno5\xe2\x80\xa6'"
2021-07-19 02:11:33,Telkomsel,Indonesia,"b'@maudlinamida Hai, Kak. Maaf ya terkait kendala sinyal terputus, apa sudah coba pindahkan mode jaringan dari otomat\xe2\x80\xa6 https://t.co/YSqMiMK8cN'"
2021-07-19 02:00:40,Telkomsel,Indonesia,"b'@LidyaNatalia199 Hai, Kak Lidya. Maaf ya jadi gak nyaman. Terkait kendala jaringan lemah, yuk infokan nomor HP, lok\xe2\x80\xa6 https://t.co/59H5Zurqgx'"
2021-07-19 01:51:08,mickoseptano77,Lampung,b'apaan si @Telkomsel  Sinyal bagus jaringan bagus buat Game pubg ping sampe nyentuh 200 Bangsat'
2021-07-19 01:49:37,saifulkarim97,Bireuen,"b'@Telkomsel untuk aceh kalian memang operator selular dgn jaringan terluas dan terhebat, ttp utk urusan paket, kalia\xe2\x80\xa6 https://t.co/ca9YifA9TT'"
2021-07-19 01:29:35,mnctrijaya,Jakarta,b'Beberapa waktu lalu dua operator seluler yakni Telkomsel dan Indosat telah meluncurkan jaringan 5G di Indonesia. La\xe2\x80\xa6 https://t.co/8M9Tq6ydc8'
2021-07-19 01:23:13,IrwaniPanga,,"b'RT @byu_id: Jadi sultan pake by.U aja! Bebas pilih nomor dan kuota semaumu, internetan byUbas kapan aja karena pake jaringan Telkomsel~\n\nYu\xe2\x80\xa6'"
2021-07-19 01:00:36,ceritasigelap,Jakarta,b'Indihome tolong kenapa jaringan akhir2 ini lemot ya? Kita bayar tepat waktu tapi kualitas kenpaa maalah menurun? Di\xe2\x80\xa6 https://t.co/SZo6cotQ10'
2021-07-18 23:45:07,Telkomsel,Indonesia,"b'@riokunkurniawan Hai, Kak Rio. Maaf ya, perihal kendala sinyal hilang. Apa sudah coba pindahkan jaringan dari otoma\xe2\x80\xa6 https://t.co/R39cx87xU3'"
2021-07-18 23:42:52,yazid_net,"Jakarta Pusat, DKI Jakarta",b'@Telkomsel Data untuk apa? Ini soal aplikasi.. bukan jaringan. Udahlah apus aja. https://t.co/bFI13oFkGu'
2021-07-18 22:11:24,Telkomsel,Indonesia,"b'@mmaskedmann Pagi, Kak. Maafin ya Kak, buat kendala akses data gak stabil, udah coba refresh jaringan OFF-kan data\xe2\x80\xa6 https://t.co/4oHpObltTb'"
2021-07-18 22:10:02,mmaskedmann,,"b'ping gua ga pernah siah. halo @Telkomsel , bagaimana cara menstabilkan jaringan?'"
2021-07-18 21:36:20,Telkomsel,Indonesia,"b'@djoeliand Pagi, Kak Ysetiawan. Maafin ya Kak, buat kendala akses data lambat, udah coba refresh jaringan OFF-kan d\xe2\x80\xa6 https://t.co/XNBd37W588'"
2021-07-18 20:50:04,bamkiku,she/her !,b'jaringan telkomsel kok lelet bgt sih akhir\xc2\xb2 ini :\\'
2021-07-18 20:02:03,Telkomsel,Indonesia,"b'@JalalludinMukh1 Pagi, Kak Nukfi. Maafin ya udah bikin bete, buat kendala akses data gak stabil, udah coba refresh\xe2\x80\xa6 https://t.co/LfOSZ0DHui'"
2021-07-18 18:04:59,SyafutraHenri,"Jakarta Capital Region, Indone",b'Cukup pakai jaringan Telkomsel saja dan download aplikasi Vidio. Langsung bisa ditonton \xf0\x9f\x98\x80 https://t.co/tRTiwRkBZA'
2021-07-18 17:12:24,Telkomsel,Indonesia,"b'@aldisaputrabs Maaf, Kak Aldi, perihal kendala sinyal. Apa Kakak sudah pindahkan jaringan dari otomatis ke manual d\xe2\x80\xa6 https://t.co/hs9btzx65H'"
2021-07-18 16:36:10,Telkomsel,Indonesia,"b'@Pucciiiiiiiiii Maaf ya, Kak :( Perihal internet lambat. Apa Kakak sudah coba refresh jaringan dengan cara ON-OFF a\xe2\x80\xa6 https://t.co/hHOXthHECb'"
2021-07-18 16:23:04,Telkomsel,Indonesia,"b'@ArranXCV [1] Hai, Kak Arran. Maaf jadi ga nyaman. Mengenai kendala sinyal yang menyebabkan akses data lambat atau\xe2\x80\xa6 https://t.co/kQccaTH0B5'"
2021-07-18 16:18:43,Telkomsel,Indonesia,"b'@ZafranDede [1] Hai, Kak Dede. Mohon maaf terkait kendala sinyal hilang kak, apakah sebelumnya sudah mencoba refres\xe2\x80\xa6 https://t.co/ecRVvNPFOH'"
2021-07-18 16:17:26,Telkomsel,Indonesia,"b'@jufrikatili [1] Hai, Kak Jufri. Maaf jadi ga nyaman. Mengenai kendala sinyal yang menyebabkan akses data lambat at\xe2\x80\xa6 https://t.co/cuUYewx28A'"
2021-07-18 16:08:06,Telkomsel,Indonesia,"b'@twittataa [1] Hai, Kak Tata. Maaf jadi ga nyaman. Mengenai kendala sinyal yang menyebabkan akses data lambat atau\xe2\x80\xa6 https://t.co/aEv2zFzycd'"
2021-07-18 16:06:54,Telkomsel,Indonesia,"b'@Sabrero Hai, Kak. Untuk dapat menikmati layanan 5G Telkomsel, cukup dengan memenuhi syarat berikut ya:\n1. Nomor ud\xe2\x80\xa6 https://t.co/BcOpcNKicW'"
2021-07-18 16:04:18,Telkomsel,Indonesia,"b'@gedeeinstein [1] Hai, Kak. Maaf jadi ga nyaman. Mengenai kendala sinyal yang menyebabkan akses data lambat atau ga\xe2\x80\xa6 https://t.co/TsBVNlKmpx'"
2021-07-18 15:46:52,Telkomsel,Indonesia,"b'@RiromVP Hai, Kak Syuhada. Maafin ya Kak, kalo berkendala sinyal gak stabil, udah cobain pindahin mode jaringan dar\xe2\x80\xa6 https://t.co/woKq7nKkxO'"
